ACC Ltd.,Construction Materials,ACC,
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,
Adani Green Energy Ltd.,Power,ADANIGREEN,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,
Adani Transmission Ltd.,Power,ADANITRANS,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,
Avenue Supermarts Ltd.,Consumer Services,DMART,
Axis Bank Ltd.,Financial Services,AXISBANK,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,
Bank of Baroda,Financial Services,BANKBARODA,
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,
Bharat Electronics Ltd.,Capital Goods,BEL,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,
Biocon Ltd.,Healthcare,BIOCON,
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,
Cipla Ltd.,Healthcare,CIPLA,
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,
DLF Ltd.,Realty,DLF,
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,
Gland Pharma Ltd.,Healthcare,GLAND,
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,
Grasim Industries Ltd.,Construction Materials,GRASIM,
HCL Technologies Ltd.,Information Technology,HCLTECH,
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,
HDFC Bank Ltd.,Financial Services,HDFCBANK,
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,
Havells India Ltd.,Consumer Durables,HAVELLS,
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,
Hindustan Aeronautics Ltd.,Capital Goods,HAL,
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,
ICICI Bank Ltd.,Financial Services,ICICIBANK,
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,
ITC Ltd.,Fast Moving Consumer Goods,ITC,
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,
Indus Towers Ltd.,Telecommunication,INDUSTOWER,
